"Source";"ProductNumber";"Name";"NameWithoutYear";"Year";"Price";"Volume";"PricePerLiter";"Category";"Container";"AlcoholPercentage";"PricePerAlcohol"
"Vinmonopolet";"1101";"LÃ¸iten Linie";"LÃ¸iten Linie";"0";"419.9";"0.7";"599.86";"Aquavit";"Glass";"41.5";"1.4454389"
"Vinmonopolet";"1201";"Gilde Non Plus Ultra";"Gilde Non Plus Ultra";"0";"599.9";"0.7";"857";"Aquavit";"Glass";"41.5";"2.0650604"
"Vinmonopolet";"1301";"Aalborg Taffel Akvavit";"Aalborg Taffel Akvavit";"0";"364.9";"0.7";"521.29";"Aquavit";"Glass";"45";"1.1584127"
"Vinmonopolet";"1302";"Aalborg Taffel Akvavit";"Aalborg Taffel Akvavit";"0";"214.9";"0.35";"614";"Aquavit";"Glass";"45";"1.3644444"
"Vinmonopolet";"1501";"LÃ¸iten Export";"LÃ¸iten Export";"0";"389.9";"0.7";"557";"Aquavit";"Glass";"40";"1.3925"
"Vinmonopolet";"1502";"LÃ¸iten Export";"LÃ¸iten Export";"0";"299.9";"0.5";"599.8";"Aquavit";"Plast";"40";"1.4994999"
"Vinmonopolet";"1801";"Bommerlunder";"Bommerlunder";"0";"349.9";"0.7";"499.86";"Aquavit";"Glass";"38";"1.3154135"
"Vinmonopolet";"2001";"Graham's Late Bottled Vintage 2014";"Graham's Late Bottled Vintage";"2014";"225";"0.75";"300";"Port wine";"Glass";"20";"1.5"
"Vinmonopolet";"2002";"Graham's Late Bottled Vintage 2014";"Graham's Late Bottled Vintage";"2014";"135";"0.38";"360";"Port wine";"Glass";"20";"1.7763158"
"Vinmonopolet";"2401";"Brennevin Seksti";"Brennevin Seksti";"0";"459.9";"0.7";"657";"Vodka";"Glass";"60";"1.095"
"Vinmonopolet";"3501";"Hammer Vodka";"Hammer Vodka";"0";"346.9";"0.7";"495.57";"Vodka";"Glass";"42.7";"1.1605889"
"Vinmonopolet";"3502";"Hammer Vodka";"Hammer Vodka";"0";"195.9";"0.35";"559.71";"Vodka";"Glass";"42.7";"1.3108063"
"Vinmonopolet";"3801";"Finlandia";"Finlandia";"0";"329.9";"0.7";"471.29";"Vodka";"Glass";"37.5";"1.2567619"
"Vinmonopolet";"3803";"Finlandia";"Finlandia";"0";"51.9";"0.05";"1038";"Vodka";"Glass";"40";"2.595"
"Vinmonopolet";"3901";"Absolut Vodka";"Absolut Vodka";"0";"334.9";"0.7";"478.43";"Vodka";"Glass";"40";"1.1960714"
"Vinmonopolet";"3902";"Absolut Vodka";"Absolut Vodka";"0";"192.9";"0.35";"551.14";"Vodka";"Glass";"40";"1.3778571"
"Vinmonopolet";"4401";"Hammer Lime";"Hammer Lime";"0";"329.9";"0.7";"471.29";"Vodka";"Glass";"42.7";"1.1037136"
"Vinmonopolet";"4801";"Absolut Citron";"Absolut Citron";"0";"354.9";"0.7";"507";"Vodka";"Glass";"40";"1.2675"
"Vinmonopolet";"4804";"Absolut Citron";"Absolut Citron";"0";"134.9";"0.2";"674.5";"Vodka";"Glass";"40";"1.6862499"
"Vinmonopolet";"5401";"Bache-Gabrielsen 3 kors";"Bache-Gabrielsen 3 kors";"0";"429.9";"0.7";"614.14";"Grape spirit";"Glass";"40";"1.5353571"
"Vinmonopolet";"5402";"Bache-Gabrielsen 3 kors";"Bache-Gabrielsen 3 kors";"0";"229.9";"0.35";"656.86";"Grape spirit";"Glass";"40";"1.6421429"
"Vinmonopolet";"5404";"Bache-Gabrielsen 3 kors";"Bache-Gabrielsen 3 kors";"0";"184.9";"0.2";"924.5";"Grape spirit";"Glass";"40";"2.31125"
"Vinmonopolet";"5701";"Renault Carte Noire Extra Old";"Renault Carte Noire Extra Old";"0";"584.9";"0.7";"835.57";"Grape spirit";"Glass";"40";"2.0889287"
"Vinmonopolet";"6201";"Baron Otard V.S.O.P. Fine Champagne";"Baron Otard V.S.O.P. Fine Champagne";"0";"529.9";"0.7";"757";"Grape spirit";"Glass";"40";"1.8925002"
"Vinmonopolet";"6301";"Hennessy Very Special";"Hennessy Very Special";"0";"479.9";"0.7";"685.57";"Grape spirit";"Glass";"40";"1.7139286"
"Vinmonopolet";"6302";"Hennessy Very Special";"Hennessy Very Special";"0";"284.9";"0.35";"814";"Grape spirit";"Glass";"40";"2.035"
"Vinmonopolet";"6401";"Janneau Grand Armagnac VSOP";"Janneau Grand Armagnac VSOP";"0";"529.9";"0.7";"757";"Grape spirit";"Glass";"40";"1.8925002"
"Vinmonopolet";"6501";"Larsen Very Special Vikings'";"Larsen Very Special Vikings'";"0";"419.9";"0.7";"599.86";"Grape spirit";"Glass";"40";"1.4996428"
"Vinmonopolet";"6801";"Ch. Fontpinot X.O.";"Ch. Fontpinot X.O.";"0";"1099";"0.7";"1570";"Grape spirit";"Glass";"41";"3.8292685"
"Vinmonopolet";"6901";"Hennessy X.O.";"Hennessy X.O.";"0";"1519.9";"0.7";"2171.29";"Grape spirit";"Glass";"40";"5.4282146"
"Vinmonopolet";"6902";"Hennessy X.O.";"Hennessy X.O.";"0";"829.9";"0.35";"2371.14";"Grape spirit";"Glass";"40";"5.9278574"
"Vinmonopolet";"7001";"Courvoisier V.S.";"Courvoisier V.S.";"0";"434.9";"0.7";"621.29";"Grape spirit";"Glass";"40";"1.5532143"
"Vinmonopolet";"7101";"De Luze V.S.";"De Luze V.S.";"0";"424.9";"0.7";"607";"Grape spirit";"Glass";"40";"1.5175"
"Vinmonopolet";"7102";"De Luze V.S.";"De Luze V.S.";"0";"254.9";"0.35";"728.29";"Grape spirit";"Glass";"40";"1.8207142"
"Vinmonopolet";"7501";"Martell V.S.";"Martell V.S.";"0";"429.9";"0.7";"614.14";"Grape spirit";"Glass";"40";"1.5353571"
"Vinmonopolet";"7502";"Martell V.S.";"Martell V.S.";"0";"244.9";"0.35";"699.71";"Grape spirit";"Glass";"40";"1.7492857"
"Vinmonopolet";"7901";"Hennessy V.S.O.P.";"Hennessy V.S.O.P.";"0";"584.9";"0.7";"835.57";"Grape spirit";"Glass";"40";"2.0889287"
"Vinmonopolet";"8001";"Martell Medaillon V.S.O.P.";"Martell Medaillon V.S.O.P.";"0";"529.9";"0.7";"757";"Grape spirit";"Glass";"40";"1.8925002"
"Vinmonopolet";"8801";"Martell Cordon Bleu";"Martell Cordon Bleu";"0";"899.9";"0.7";"1285.57";"Grape spirit";"Glass";"40";"3.2139287"
"Vinmonopolet";"10701";"Metaxa *****";"Metaxa *****";"0";"379.9";"0.7";"542.71";"Grape spirit";"Glass";"38";"1.4281955"
"Vinmonopolet";"12001";"Bell's Original";"Bell's Original";"0";"339.9";"0.7";"485.57";"Whisky";"Glass";"40";"1.2139286"
"Vinmonopolet";"12002";"Bell's Original";"Bell's Original";"0";"199.9";"0.35";"571.14";"Whisky";"Glass";"40";"1.4278572"
"Vinmonopolet";"12101";"Peter Dawson Special";"Peter Dawson Special";"0";"344.9";"0.7";"492.71";"Whisky";"Glass";"40";"1.2317857"
"Vinmonopolet";"12102";"Peter Dawson Special";"Peter Dawson Special";"0";"179.9";"0.35";"514";"Whisky";"Glass";"40";"1.285"
"Vinmonopolet";"12201";"Inverness Cream";"Inverness Cream";"0";"329.9";"0.7";"471.29";"Whisky";"Glass";"40";"1.1782143"
"Vinmonopolet";"12202";"Inverness Cream";"Inverness Cream";"0";"182.9";"0.35";"522.57";"Whisky";"Glass";"40";"1.3064286"
"Vinmonopolet";"12401";"The Famous Grouse";"The Famous Grouse";"0";"395.9";"0.7";"565.57";"Whisky";"Glass";"40";"1.4139286"
"Vinmonopolet";"12402";"The Famous Grouse";"The Famous Grouse";"0";"228.9";"0.35";"654";"Whisky";"Glass";"40";"1.635"
"Vinmonopolet";"12403";"The Famous Grouse";"The Famous Grouse";"0";"45.9";"0.05";"918";"Whisky";"Glass";"40";"2.295"
"Vinmonopolet";"12701";"Highland Park Single Malt 12 Years Old";"Highland Park Single Malt 12 Years Old";"0";"519.9";"0.7";"742.71";"Whisky";"Glass";"40";"1.8567858"
"Vinmonopolet";"12901";"The Glenlivet Single Malt 12 Years Old";"The Glenlivet Single Malt 12 Years Old";"0";"474.9";"0.7";"678.43";"Whisky";"Glass";"40";"1.6960714"
"Vinmonopolet";"13601";"Ballantine's Finest";"Ballantine's Finest";"0";"377.9";"0.7";"539.86";"Whisky";"Glass";"40";"1.3496429"
"Vinmonopolet";"13602";"Ballantine's Finest";"Ballantine's Finest";"0";"214.9";"0.35";"614";"Whisky";"Glass";"40";"1.535"
"Vinmonopolet";"14201";"Grant's Triple Wood";"Grant's Triple Wood";"0";"389.9";"0.7";"557";"Whisky";"Glass";"40";"1.3925"
"Vinmonopolet";"14401";"Frangelico";"Frangelico";"0";"299.9";"0.7";"428.43";"LikÃ¸r";"Glass";"20";"2.1421428"
"Vinmonopolet";"14501";"Johnnie Walker Red Label";"Johnnie Walker Red Label";"0";"359.9";"0.7";"514.14";"Whisky";"Glass";"40";"1.2853571"
"Vinmonopolet";"14601";"Jack Daniel's Tennessee";"Jack Daniel's Tennessee";"0";"404.9";"0.7";"578.43";"Whisky";"Glass";"40";"1.4460714"
"Vinmonopolet";"14607";"Jack Daniel's Tennessee";"Jack Daniel's Tennessee";"0";"1754.9";"3";"584.97";"Whisky";"Glass";"40";"1.4624166"
"Vinmonopolet";"15001";"Teacher's Highland Cream";"Teacher's Highland Cream";"0";"349.9";"0.7";"499.86";"Whisky";"Glass";"40";"1.2496428"
"Vinmonopolet";"15301";"J&B Rare";"J&B Rare";"0";"359.9";"0.7";"514.14";"Whisky";"Glass";"40";"1.2853571"
"Vinmonopolet";"15901";"Johnnie Walker Black Label";"Johnnie Walker Black Label";"0";"459.9";"0.7";"657";"Whisky";"Glass";"40";"1.6425"
"Vinmonopolet";"16101";"Chivas Regal 12 Years Old";"Chivas Regal 12 Years Old";"0";"477.5";"0.7";"682.14";"Whisky";"Glass";"40";"1.7053572"
"Vinmonopolet";"16201";"Jameson";"Jameson";"0";"394.9";"0.7";"564.14";"Whisky";"Glass";"40";"1.4103571"
"Vinmonopolet";"16202";"Jameson";"Jameson";"0";"212.9";"0.35";"608.29";"Whisky";"Glass";"40";"1.5207143"
"Vinmonopolet";"16207";"Jameson";"Jameson";"0";"2340";"4.5";"520";"Whisky";"Glass";"40";"1.3"
"Vinmonopolet";"16501";"Four Roses Bourbon";"Four Roses Bourbon";"0";"369.9";"0.7";"528.43";"Whisky";"Glass";"40";"1.3210714"
"Vinmonopolet";"16601";"Jim Beam Kentucky";"Jim Beam Kentucky";"0";"359.9";"0.7";"514.14";"Whisky";"Glass";"40";"1.2853571"
"Vinmonopolet";"17001";"Canadian Club";"Canadian Club";"0";"386.9";"0.7";"552.71";"Whisky";"Glass";"40";"1.3817858"
"Vinmonopolet";"17702";"Bokma Oude Friesche";"Bokma Oude Friesche";"0";"297.5";"0.5";"595";"Genever";"Glass";"38";"1.5657895"
"Vinmonopolet";"18601";"Galliano";"Galliano";"0";"365.9";"0.7";"522.71";"LikÃ¸r";"Glass";"30";"1.742381"
"Vinmonopolet";"18602";"Galliano";"Galliano";"0";"172.9";"0.35";"494";"LikÃ¸r";"Glass";"30";"1.6466666"
"Vinmonopolet";"18701";"Beefeater London Dry";"Beefeater London Dry";"0";"369.9";"0.7";"528.43";"Gin";"Glass";"40";"1.3210714"
"Vinmonopolet";"18702";"Beefeater London Dry";"Beefeater London Dry";"0";"194.9";"0.35";"556.86";"Gin";"Glass";"40";"1.3921429"
